BCD_Cumulative_Rainfall_per_Event,BLN_Cumulative_Rainfall_per_Event,BLO_Cumulative_Rainfall_per_Event,SCH_Cumulative_Rainfall_per_Event,date_hour,discharge,gage_height,NAVD88 ft,flood_stage,Total_Cumulative_Event_Rainfall,new_event,event_hours,is_peak,pre_peak_hours,post_peak_hours,pre_peak_cumulative_rain,post_peak_cumulative_rain,pre_peak_intensity,post_peak_intensity,flood_category,time_from_start
0.0,0.0099999999999997,0.0008333333333331,0.0099999999999997,2016-03-03 16:00:00,30.8,3.27,233.33,No Flooding,0.0208333333333325,9970.0,0.0,False,-1.0,1.0,0.0,0.0208333333333325,-0.0,0.0208333333333325,Minor Flooding,0.0
0.0,0.0,0.0033333333333332,0.0,2016-03-03 22:00:00,31.3,3.28,233.34,No Flooding,0.0033333333333332,9970.0,1.0,False,-1.0,2.0,0.0,0.0033333333333332,-0.0,0.0016666666666666,Minor Flooding,1.0
0.0,0.0099999999999997,0.0083333333333334,0.0099999999999997,2016-03-04 04:00:00,31.9,3.29,233.35,No Flooding,0.0283333333333327,9970.0,2.0,False,-1.0,3.0,0.0,0.0283333333333327,-0.0,0.0094444444444442,Minor Flooding,2.0
0.0,0.0,0.0191666666666669,0.0,2016-03-04 09:00:00,38.7,3.4,233.46,No Flooding,0.0191666666666669,9970.0,3.0,False,-1.0,4.0,0.0,0.0191666666666669,-0.0,0.0047916666666667,Minor Flooding,3.0
0.0033333333333332,0.0,0.0316666666666668,0.0,2016-03-04 12:00:00,41.3,3.44,233.5,No Flooding,0.035,9970.0,4.0,False,-1.0,5.0,0.0,0.035,-0.0,0.007,Minor Flooding,4.0
0.0,0.0033333333333332,0.0441666666666667,0.0033333333333332,2016-03-04 13:00:00,44.8,3.49,233.55,No Flooding,0.0508333333333331,9970.0,5.0,False,-1.0,6.0,0.0,0.0508333333333331,-0.0,0.0084722222222221,Minor Flooding,5.0
0.0,0.0,0.0733333333333335,0.0,2016-03-04 14:00:00,76.3,3.86,233.92,No Flooding,0.0733333333333335,9970.0,6.0,False,-1.0,7.0,0.0,0.0733333333333335,-0.0,0.0104761904761905,Minor Flooding,6.0
0.0,0.0,0.0825000000000001,0.0,2016-03-04 15:00:00,91.1,4.0,234.06,No Flooding,0.0825000000000001,9970.0,7.0,False,-1.0,8.0,0.0,0.0825000000000001,-0.0,0.0103125,Minor Flooding,7.0
0.0033333333333335,0.0033333333333332,0.0991666666666664,0.0033333333333332,2016-03-04 16:00:00,106.0,4.13,234.19,No Flooding,0.1091666666666663,9970.0,8.0,False,-1.0,9.0,0.0,0.1091666666666663,-0.0,0.0121296296296295,Minor Flooding,8.0
0.0,0.0,0.1000000000000002,0.0,2016-03-04 17:00:00,97.9,4.06,234.12,No Flooding,0.1000000000000002,9970.0,9.0,False,-1.0,10.0,0.0,0.1000000000000002,-0.0,0.01,Minor Flooding,9.0
